   34785000.000000000        69570000.000000000                            NaN                       NaN
         272   9461520000.0000000        9426735000.0000000       -0.0000000000000000                            NaN
         273   9496305000.0000000        9461520000.0000000       -0.0000000000000000                            NaN
         274   9531090000.0000000        9496305000.0000000       -0.0000000000000000                            NaN
         275   9565875000.0000000        9531090000.0000000       -0.0000000000000000                            NaN
         276   9600660000.0000000        9565875000.0000000       -0.0000000000000000                            NaN
         277   9635445000.0000000        9600660000.0000000       -0.0000000000000000                            NaN
         278   9670230000.0000000        9635445000.0000000       -0.0000000000000000                            NaN
         279   9705015000.0000000        9670230000.0000000       -0.0000000000000000                            NaN
         280   9739800000.0000000        9705015000.0000000       -0.0000000000000000                            NaN
         281   9774585000.0000019        9739800000.0000000       -0.0000000000000000                            NaN
         282   9809370000.0000000        9774585000.0000019       -0.0000000000000000                            NaN
         283   9844155000.0000000        9809370000.0000000       -0.0000000000000000                            NaN
         284   9878940000.0000000        9844155000.0000000       -0.0000000000000000                            NaN
         285   9913725000.0000000        9878940000.0000000       -0.0000000000000000                            NaN
         286   9948510000.0000000        9913725000.0000000       -0.0000000000000000                            NaN
         287   9983295000.0000000        9948510000.0000000       -0.0000000000000000                            NaN
         288   10018080000.000000        9983295000.0000000       -0.0000000000000000                            NaN
         289   10052865000.000000        10018080000.000000       -0.0000000000000000                            NaN
         290   10087650000.000000        10052865000.000000       -0.0000000000000000                            NaN
         291   10122435000.000000        10087650000.000000       -0.0000000000000000                            NaN
         292   10157220000.000000        10122435000.000000       -0.0000000000000000                            NaN
         293   10192005000.000000        10157220000.000000       -0.0000000000000000                            NaN
         294   10226790000.000000        10192005000.000000       -0.0000000000000000                            NaN
         295   10261575000.000000        10226790000.000000       -0.0000000000000000                            NaN
         296   10296360000.000000        10261575000.000000       -0.0000000000000000                            NaN
         297   10331145000.000000        10296360000.000000       -0.0000000000000000                            NaN
         298   10365930000.000000        10331145000.000000       -0.0000000000000000                            NaN
         299   10400715000.000000        10365930000.000000       -0.0000000000000000                            NaN
